id,manufacturer,model,model_year,variant,segment,seats,price_local,currency,range_km,range_rating,battery_capacity_kwh,battery_chemistry,efficiency_wh_km,fast_charge_kw,charge_10_80_min,drivetrain,power_kw,torque_nm,acceleration_0_100_s,top_speed_kmh,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,cargo_volume_l,frunk_volume_l,towing_capacity_kg,curb_weight_kg,onboard_charger_kw,charge_port_type,v2l_capable,plug_and_charge,range_city_km,range_highway_km
tesla-cybertruck-awd-2026,Tesla,Cybertruck,2026,AWD,truck,5,142864,CAD,523,epa,123.5,nmc,236,250,27,awd,448,671,4.1,209,5682,2413,1791,3683,,845,,,3078,19.2,nacs,true,true,,
toyota-bz4x-fwd-2026,Toyota,bZ4X,2026,FWD,suv,5,47990,CAD,406,epa,71.4,nmc,176,150,30,fwd,150,266,7.3,160,4690,1860,1650,2850,,452,,,1925,6.6,nacs,false,false,,
toyota-bz4x-awd-2026,Toyota,bZ4X,2026,AWD,suv,5,53990,CAD,367,epa,71.4,nmc,194,150,30,awd,160,337,6.9,160,4690,1860,1650,2850,,452,,,2100,6.6,nacs,false,false,,
toyota-bz-suv-fwd-2026,Toyota,bZ SUV,2026,FWD,suv,5,45990,CAD,468,epa,77,nmc,165,150,30,fwd,160,,,160,,,,,,,,,,,nacs,false,false,,
toyota-chr-bev-fwd-2026,Toyota,C-HR BEV,2026,FWD,crossover,5,48300,CAD,496,epa,77,nmc,155,150,,fwd,165,,,175,,,,,,,,,,,nacs,false,false,,
toyota-chr-bev-awd-2026,Toyota,C-HR BEV,2026,AWD,crossover,5,56300,CAD,452,epa,77,nmc,170,150,,awd,252,,,180,,,,,,,,,,,nacs,false,false,,
vw-id4-pro-rwd-2026,Volkswagen,ID.4,2026,Pro RWD,crossover,5,50995,CAD,468,epa,82,nmc,175,175,28,rwd,210,310,8.5,160,4584,1852,1637,2771,163,543,64,1000,2098,11,nacs,false,false,,
vw-id4-pro-awd-2026,Volkswagen,ID.4,2026,Pro AWD,crossover,5,57995,CAD,423,epa,82,nmc,194,175,28,awd,295,460,5.9,180,4584,1852,1637,2771,163,543,64,1000,2221,11,nacs,false,false,,
volvo-ex30-sm-er-2026,Volvo,EX30,2026,Single Motor Extended Range,crossover,5,53638,CAD,344,epa,69,nmc,201,153,26,rwd,200,343,5.3,180,4233,1837,1549,2650,175,318,,,1850,11,ccs,false,false,,
volvo-ex30-twin-2026,Volvo,EX30,2026,Twin Motor Performance,crossover,5,63638,CAD,296,epa,69,nmc,233,153,26,awd,315,543,3.6,180,4233,1837,1549,2650,175,318,,,1960,11,ccs,false,false,,
volvo-ex40-twin-2026,Volvo,EX40,2026,Twin Motor AWD,crossover,5,72490,CAD,356,epa,82,nmc,230,153,28,awd,300,660,4.9,180,4440,1873,1596,2702,,419,31,1500,2248,11,ccs,false,false,,
volvo-ec40-twin-2026,Volvo,EC40,2026,Twin Motor AWD,crossover,5,73490,CAD,341,epa,82,nmc,240,153,28,awd,300,660,4.9,180,4440,1873,1596,2702,,330,31,1500,2231,11,ccs,false,false,,
